Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5EbTamOuKNYlEsOUGc51kE,"58XGUNsRNu3cVOIOYk5chx","My Lady's On Fire","Freedom's Goblin","Ty Segall",2018-01-26,232386,59,spotify:user:emberg547,2020-08-04T18:28:14Z,"alternative rock,bay area indie,blues rock,freak folk,garage psych,garage rock,indie garage rock,indie rock,modern rock,neo-psychedelic,noise pop,oc indie,punk blues",0.319,0.496,3,-9.113,1,0.0333,0.176,0.000655,0.107,0.321,82.795,4
6E3NosMXYlGD21K7KqIxQ1,"0Ak6DLKHtpR6TEEnmcorKA","I Always Knew","Come Of Age","The Vaccines",2012-09-03,214346,62,spotify:user:emberg547,2020-08-04T18:28:22Z,"indie rock,modern alternative rock,modern rock,rock",0.393,0.872,2,-2.53,1,0.0401,0.000122,0.000407,0.312,0.393,150.097,4
1d150ahPbFUS7Cbe5hcJdn,"5XGoUe0WjmbOtppHlB7Taf","NOBO","Wayne Interest","Tijuana Panthers",2014,247389,46,spotify:user:emberg547,2020-08-04T18:28:29Z,"garage pop,indie garage rock,indie surf",0.398,0.776,9,-7.388,0,0.0374,0.0571,0.0172,0.303,0.686,110.815,4
4j4pPKE3xAblPIbhxScC1j,"2Tz1DTzVJ5Gyh8ZwVr6ekU","Rawnald Gregory Erickson the Second","Starfucker","STRFKR",2008-09-23,173693,69,spotify:user:emberg547,2020-08-04T18:28:54Z,"alternative dance,chillwave,indie rock,indietronica,modern rock",0.9,0.538,7,-7.879,1,0.0343,0.229,0.843,0.287,0.713,95.508,4
6jdNquu4FEYKXFERwKqILp,"1GLtl8uqKmnyCWxHmw9tL4","Chicken Bone","Let's Go Sunshine","The Kooks",2018-08-31,225001,43,spotify:user:emberg547,2020-08-04T18:28:58Z,"brighton indie,modern rock,rock",0.597,0.932,4,-2.463,0,0.0411,0.157,0,0.34,0.679,111.01,4
4gwltSjdrzKtKz9dlk2Wja,"7A47sEe0ih6WpKmNCRMu86","Stella Brown","Stella Brown","Jelani Aryeh",2020-04-03,187415,64,spotify:user:emberg547,2020-08-04T18:30:54Z,"alternative r&b,bedroom soul,indie pop,indie r&b",0.724,0.48,2,-7.537,1,0.0342,0.211,0.0772,0.289,0.591,125.007,4
35Ki1lvKPC2sFBD3GmKdRG,"5rebfYbZVIhbRVcRKWVOAh","Televised","Windows I","HUNNY",2017-05-26,194716,69,spotify:user:emberg547,2020-08-04T18:31:22Z,"indie pop,modern alternative rock,modern rock",0.591,0.746,8,-7.762,1,0.0444,0.000729,0,0.127,0.432,107.965,4
5mpLcXEsk3jjzLFGuNKk5I,"1hzfo8twXdOegF3xireCYs","Flashed Junk Mind","Sadnecessary","Milky Chance",2014-06-20,262000,65,spotify:user:emberg547,2020-08-04T18:32:31Z,"german pop",0.839,0.84,11,-8.721,1,0.0474,0.389,0.0319,0.114,0.904,117.98,4
