Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4Sw4lblE6aXpoOJma6Mlx5,"5K4W6rqBFWDnAN6FQUkS6x,0Mz5XE0kb1GBnbLQm2VbcO","Drunk and Hot Girls","Graduation","Kanye West,Mos Def",2007-09-11,313226,59,spotify:user:emberg547,2020-12-01T07:51:00Z,"chicago rap,rap,alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,southern hip hop",0.661,0.442,10,-7.297,0,0.0285,0.0697,0.0000115,0.136,0.299,82.758,3
795LIYKphBOsvyMh5hZaPk,"5K4W6rqBFWDnAN6FQUkS6x","The Glory","Graduation","Kanye West",2007-09-11,212706,62,spotify:user:emberg547,2020-12-01T07:51:06Z,"chicago rap,rap",0.423,0.643,6,-7.261,1,0.287,0.0455,0,0.172,0.708,84.336,4
2ovQ5MCx91XVjgVWEPfvks,"5K4W6rqBFWDnAN6FQUkS6x,0LQoZQIV0mIs0y0XQb0Sw2","Homecoming","Graduation","Kanye West,Chris Martin",2007-09-11,203493,78,spotify:user:emberg547,2020-12-01T07:51:11Z,"chicago rap,rap",0.667,0.747,1,-7.059,1,0.189,0.337,0,0.115,0.918,86.917,4
1PS1QMdUqOal0ai3Gt7sDQ,"5K4W6rqBFWDnAN6FQUkS6x,7LnaAXbDVIL75IVPnndf7w","Gold Digger","Late Registration","Kanye West,Jamie Foxx",2005-08-30,207626,80,spotify:user:emberg547,2020-12-01T07:51:36Z,"chicago rap,rap,contemporary r&b,hip hop,hip pop,neo soul,pop rap,r&b,southern hip hop,urban contemporary",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
5g1vtHqi9uV7xtYeCcFOBx,"5K4W6rqBFWDnAN6FQUkS6x","Jesus Walks","The College Dropout","Kanye West",2004-02-10,193733,71,spotify:user:emberg547,2020-12-01T07:52:04Z,"chicago rap,rap",0.637,0.834,3,-4.686,0,0.323,0.614,0,0.317,0.715,87.312,4
1th3G3okofWlvGWAAR7Y4V,"5K4W6rqBFWDnAN6FQUkS6x","School Spirit","The College Dropout","Kanye West",2004-02-10,182386,58,spotify:user:emberg547,2020-12-01T07:52:13Z,"chicago rap,rap",0.483,0.787,5,-5.422,0,0.21,0.339,0,0.236,0.592,84.81,4
2MIBAmYwiuGoKUlpq9B9sZ,"5K4W6rqBFWDnAN6FQUkS6x","Can't Tell Me Nothing","Graduation","Kanye West",2007-09-11,271600,77,spotify:user:emberg547,2020-12-01T07:59:39Z,"chicago rap,rap",0.596,0.62,5,-6.133,0,0.039,0.0122,0,0.82,0.102,80.029,4
34KUIBsIUiPV7oCIzSdDAU,"5K4W6rqBFWDnAN6FQUkS6x,3nFkdlSjzX9mRTtwJOzDYB","Diamonds From Sierra Leone - Remix","Late Registration","Kanye West,JAY-Z",2005-08-30,233400,62,spotify:user:emberg547,2020-12-01T08:01:14Z,"chicago rap,rap,east coast hip hop,hip hop",0.672,0.814,7,-3.768,1,0.27,0.258,0,0.164,0.379,97.043,4
46OFHBw45fNi7QNjSetITR,"5K4W6rqBFWDnAN6FQUkS6x","Hey Mama","Late Registration","Kanye West",2005-08-30,305066,65,spotify:user:emberg547,2020-12-01T08:05:25Z,"chicago rap,rap",0.583,0.754,7,-6.993,1,0.223,0.0593,0,0.113,0.347,95.784,4
5CGS4UovzA7ftCJkLVXQju,"5K4W6rqBFWDnAN6FQUkS6x","I Love Kanye","The Life Of Pablo","Kanye West",2016-06-10,44826,65,spotify:user:emberg547,2020-12-03T00:43:32Z,"chicago rap,rap",0.756,0.374,5,-7.966,1,0.741,0.594,0,0.217,0.966,80.326,4
722tgOgdIbNe3BEyLnejw4,"5K4W6rqBFWDnAN6FQUkS6x","Black Skinhead","Yeezus","Kanye West",2013-06-18,188013,78,spotify:user:emberg547,2021-01-10T01:53:40Z,"chicago rap,rap",0.766,0.809,1,-6.123,1,0.279,0.0011,0,0.168,0.325,130.127,4
3sNVsP50132BTNlImLx70i,"5K4W6rqBFWDnAN6FQUkS6x","Bound 2","Yeezus","Kanye West",2013-06-18,229146,82,spotify:user:emberg547,2021-02-14T00:34:18Z,"chicago rap,rap",0.367,0.665,1,-2.821,1,0.0465,0.145,0,0.113,0.31,148.913,4
4KW1lqgSr8TKrvBII0Brf8,"5K4W6rqBFWDnAN6FQUkS6x","Father Stretch My Hands Pt. 1","The Life Of Pablo","Kanye West",2016-06-10,135920,82,spotify:user:emberg547,2021-02-14T00:34:23Z,"chicago rap,rap",0.724,0.573,7,-4.113,1,0.0549,0.118,0,0.538,0.438,113.088,4
4EndPA8b6FDWYp1RgsnLEB,"5K4W6rqBFWDnAN6FQUkS6x,5y2Xq6xcjJb2jVM54GHK3t","Blame Game","My Beautiful Dark Twisted Fantasy","Kanye West,John Legend",2010-11-22,469866,64,spotify:user:emberg547,2021-02-21T16:58:03Z,"chicago rap,rap,neo soul,pop,pop soul,r&b,urban contemporary",0.419,0.581,10,-5.964,0,0.0688,0.306,0.000063,0.11,0.636,80.305,1
6j8gTlbhj9KJSeypNcNAS9,"5K4W6rqBFWDnAN6FQUkS6x","Street Lights","808s & Heartbreak","Kanye West",2008-11-24,189906,65,spotify:user:emberg547,2021-04-27T17:07:49Z,"chicago rap,rap",0.644,0.487,6,-9.654,1,0.034,0.0287,0.0166,0.206,0.467,125.528,4
6vegnfDS8DAEaCqWaPYGPy,"3nFkdlSjzX9mRTtwJOzDYB,5K4W6rqBFWDnAN6FQUkS6x,60df5JBRRPcnSpsIMxxwQm","Otis","Watch The Throne (Deluxe)","JAY-Z,Kanye West,Otis Redding",2011-08-08,178213,71,spotify:user:emberg547,2021-08-25T22:44:20Z,"east coast hip hop,hip hop,rap,chicago rap,classic soul,memphis soul,soul,soul blues,southern soul",0.754,0.631,7,-4.751,0,0.307,0.552,0,0.5,0.432,94.577,4
