Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3kb72STxc2959ZqsTwu52i,"26T3LtbuGT1Fu9m0eRq5X3","Ain't No Rest for the Wicked","Cage The Elephant","Cage The Elephant",2009-03-27,175493,0,spotify:user:emberg547,2018-07-23T03:09:00Z,"modern rock,punk blues,rock",0.634,0.849,0,-7.075,1,0.105,0.0438,0,0.363,0.919,156.004,4
3Rw9J03nW964TruD23gfaS,"4NpFxQe2UvRCAjto3JqlSl","When The Curtain Falls","When The Curtain Falls","Greta Van Fleet",2018-07-17,221893,0,spotify:user:emberg547,2018-07-23T13:20:21Z,"modern blues rock,modern hard rock,rock",0.381,0.975,0,-2.258,1,0.156,0.0457,0.0706,0.0713,0.674,191.974,4
32BEasyNQgqXQJKoVa0fUw,"4NpFxQe2UvRCAjto3JqlSl","Black Smoke Rising","From The Fires","Greta Van Fleet",2017-11-10,259893,71,spotify:user:emberg547,2018-07-23T13:20:38Z,"modern blues rock,modern hard rock,rock",0.558,0.902,7,-4.018,1,0.0464,0.197,0.000148,0.0852,0.572,100.027,4
7aOor99o8NNLZYElOXlBG1,"4NpFxQe2UvRCAjto3JqlSl","Highway Tune","From The Fires","Greta Van Fleet",2017-11-10,180640,74,spotify:user:emberg547,2018-07-23T13:20:44Z,"modern blues rock,modern hard rock,rock",0.582,0.962,4,-3.037,1,0.0542,0.0096,0.128,0.283,0.506,123.971,4
1BfR5GMOgW0peHkPxrwf11,"4NpFxQe2UvRCAjto3JqlSl","Safari Song","From The Fires","Greta Van Fleet",2017-11-10,234600,70,spotify:user:emberg547,2018-07-23T13:20:49Z,"modern blues rock,modern hard rock,rock",0.362,0.928,2,-4.015,1,0.0503,0.164,0.0000161,0.315,0.678,175.868,4
4SE1kjgRulcwjNcc7oFFg4,"4NpFxQe2UvRCAjto3JqlSl","Flower Power","From The Fires","Greta Van Fleet",2017-11-10,312533,64,spotify:user:emberg547,2018-07-23T13:20:56Z,"modern blues rock,modern hard rock,rock",0.268,0.697,2,-5.544,1,0.0365,0.345,0.0562,0.138,0.195,166.137,4
6ZIuit0z4eQg77F1RGkp0L,"3YQKmKGau1PzlVlkL1iodx","Nico And The Niners","Jumpsuit / Nico And The Niners","Twenty One Pilots",2018-07-11,227365,0,spotify:user:emberg547,2018-07-23T13:21:19Z,"modern rock,rock",0.731,0.595,9,-7.734,0,0.15,0.0588,0.00000867,0.248,0.362,140.072,4
0RJ7SwEtfN9hmRK1nJFLZR,"0NIPkIjTV8mB795yEIiPYL","Pictures of Girls","Pictures of Girls","Wallows",2018-02-22,204106,0,spotify:user:emberg547,2018-08-22T13:28:45Z,"indie pop,modern rock,pop",0.444,0.822,6,-5.483,1,0.0309,0.000205,0.00714,0.076,0.498,154.945,4
2JFeVDbE3HZhY2E3oNReKh,"3mIj9lX2MWuHmhNCA7LSCW","Sex","The 1975 (Deluxe Version)","The 1975",2013,207001,50,spotify:user:emberg547,2018-09-12T02:41:51Z,"modern alternative rock,modern rock,pop,rock",0.408,0.975,2,-4.142,1,0.128,0.0000133,0.0000529,0.506,0.183,148.316,4
