Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1vKyqXShQdt1vxlrQhyfSF,"49wfJDFAZGLI1zIW6RSQWL,2KKqiT3evjHEyeComuXulu","Loving You","Stories.","Vinny Masino,Garrett Frangi",2019-11-13,146175,35,spotify:user:emberg547,2020-07-06T03:56:56Z,"",0.694,0.0204,4,-28.896,0,0.0763,0.862,0.0128,0.109,0.441,90.49,4
5NhlpQ6BOIz3S5welptk1W,"73sIBHcqh3Z3NyqHKZ7FOL","Sober","Kauai","Childish Gambino",2014-10-03,252026,74,spotify:user:emberg547,2020-07-06T04:19:31Z,"atl hip hop,hip hop,pop,pop rap,rap",0.707,0.562,0,-7.621,1,0.0305,0.124,0.0000158,0.561,0.418,98.094,4
3KfbEIOC7YIv90FIfNSZpo,"3WrFJ7ztbogyGnTHbHJFl2","In My Life - Remastered 2009","Rubber Soul (Remastered)","The Beatles",1965-12-03,146333,76,spotify:user:emberg547,2020-07-07T20:27:49Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.688,0.435,9,-11.359,1,0.0323,0.449,0,0.113,0.435,103.239,4
1H7zdcRD0gLGQY0w5ejGgX,"0Y6dVaC9DZtPNH4591M42W","Lovers Rock","French Exit","TV Girl",2014-06-05,213920,81,spotify:user:emberg547,2020-07-08T16:26:15Z,"indie pop",0.559,0.871,5,-5.338,0,0.0392,0.00000753,0.00524,0.096,0.573,104.976,4
5M3KOe4FGUidvRDUbFFdFk,"6USv9qhCn6zfxlBQIYJ9qs","Açaí Bowl","Açaí Bowl","Dominic Fike",2019-06-07,177400,61,spotify:user:emberg547,2020-07-14T15:13:51Z,"alternative pop rock,pop",0.687,0.439,2,-8.347,1,0.0426,0.502,0.000367,0.109,0.352,91.972,4
